uid,idp,rating
1,101,4.8
2,101,4.8
3,101,4.5
4,101,4.3
5,101,4.8
6,101,4.8
7,101,4.8
8,101,4.7
9,101,4.8
1,102,4.7
2,102,4.8
4,102,4.5
5,102,4.7
3,102,4.7
1,103,4.6
2,103,4.5
3,103,4.1
5,103,4.6
8,103,4.9
9,103,4.6
10,103,4.6
2,104,4.7
3,104,4.1
4,104,4.4
5,104,4.7
7,104,4.7
3,105,4.5
9,105,4.4
2,105,4.5
7,105,4.1
10,105,4.5
4,106,4.4
8,106,4.7
2,106,4.4
3,106,4.3
6,106,4.2
9,106,4.4
4,106,4.4
7,106,4.5
3,107,4.4
10,107,4.3
9,107,4.4
5,107,4.1
1,107,4
2,107,4.4
3,108,4.3
10,108,4.2
2,108,4
5,108,4.3
1,109,4.4
2,109,4.5
3,109,4.1
4,109,4.4
5,109,4.4
6,109,4.1
7,109,4.7
8,109,4.4
9,109,4.4
10,109,4.4
1,110,5
2,110,4.9
3,110,4.8
4,110,5
5,110,4.7
6,110,4.9
7,110,5
8,110,5
9,110,5
10,110,5
6,111,4.8
9,111,4.5
4,111,4.8
3,111,4.7
5,111,4.8
1,111,4.8
1,112,5
2,112,5
3,112,4.9
4,112,4.8
5,112,4.9
6,112,5
7,112,5
8,112,4.8
9,112,4.9
10,112,5
1,113,5
9,113,5
3,113,4.9
6,113,4.8
10,113,4.7
2,113,4.9
3,113,5
7,113,5
4,113,5
5,113,4.5
8,113,5
9,113,5
5,114,4.9
7,114,4.5
8,114,5
10,114,4.9
2,114,4.3
1,114,4.9
10,114,5
7,115,4.9
8,115,5
5,115,5
10,115,4.9
2,115,4.8
1,115,4.9
3,115,4.5
10,116,4.5
7,116,4
3,116,4
5,116,4.5
1,116,4.1
2,116,4.5
2,117,4.8
1,117,4.6
10,117,4.5
3,117,4.7
7,117,4.8
9,117,4.9
8,117,4.8
3,118,4.9
2,118,5
5,118,4.9
7,118,4.9
6,119,4.1
9,119,4
1,119,4.1
6,120,4.1
9,120,4
1,120,4.1
3,120,4.1
8,120,4
9,120,4.2
9,121,4
4,121,4
1,121,4
6,121,4.5
7,121,4.3
10,121,4.2
8,121,4
9,121,4
3,122,4
4,122,4.1
5,122,4.2
2,122,4
6,122,4
1,122,4.3
4,123,4.1
3,123,4.1
1,123,4
7,123,4.2
9,123,4.1
10,123,4.1
1,123,4.3
3,124,4.5
2,124,4.3
4,124,4.4
5,124,4.5
9,124,4.6
8,124,4.5
10,124,4.5
6,124,4
1,124,4.5
3,125,4.6
1,125,4.5
5,125,4.6
4,126,4
1,126,3.9
3,126,3.8
5,126,4
2,126,4.1
6,126,4.2
7,126,4
10,126,4
3,127,3.8
8,127,3.7
1,127,3.6
4,127,3.8
5,127,3.8
7,127,4
2,128,4
1,128,4.1
5,128,3.9
4,128,4
3,128,4
10,128,4.1
6,129,4
9,129,4
4,129,4
3,129,4.1
5,129,3.9
1,129,3.9
9,129,4
9,130,5
3,130,4.8
6,130,4.7
10,130,5
2,130,5
3,131,5
1,131,4.5
2,131,5
3,131,4.8
5,131,5
8,131,5
9,132,4.8
10,132,4
1,132,4.5
3,132,4.8
4,132,4.7
5,132,4.8
2,133,5
1,133,5
7,133,5
8,133,4.9
6,133,4.8
3,133,4.7
4,133,4.6
5,133,5
5,134,5
6,134,4.5
9,134,4.6
4,134,4.3
1,134,5
2,134,5
8,134,5
10,134,5
1,135,4.8
2,135,4.9
3,135,4.9
5,135,4.8
4,135,4.8
9,135,4.5
10,135,4.7
8,135,4.8
10,136,4.8
3,136,4.6
2,136,4.5
4,136,4.8
1,136,4.7
5,136,4.8
5,137,4.8
1,137,4.8
10,137,4.5
3,137,7
4,137,4.8
1,138,4.5
2,138,4
3,138,4.8
5,138,4.3
4,138,4.8
9,138,4.8
10,138,4.8
1,139,4.3
2,139,4.1
3,139,4.2
4,139,4.3
5,139,4.3
6,139,4.1
7,139,4.3
8,139,4.3
9,139,4.3
5,140,5
6,140,5
10,140,5
4,140,4.9
8,140,4.9
9,140,4.8
5,141,5
7,141,5
9,141,5
10,141,5
8,141,5
3,141,5
2,141,5
6,141,5
1,142,5
3,142,4.8
4,142,4.9
5,142,5
10,142,4.5
9,142,5
1,143,4.5
4,143,
3,143,
5,143,
8,143,
10,143,
3,144,4.6
1,144,
5,144,
4,144,
10,145,4.1
1,145,4.2
4,145,4.4
5,145,4.7
3,145,4.8
2,145,4.9
3,146,4.6
4,146,4
5,146,4.6
9,146,4.6
2,146,4.6
6,147,4.7
3,147,4.7
4,147,4.7
5,147,4.7
7,147,4.7
1,148,5
5,148,4.9
4,148,4.8
3,148,4.9
8,148,5
10,148,5
5,149,5
3,149,5
4,149,5
2,149,4.9
1,149,5
10,149,4.9
6,150,4.1
2,150,4
10,150,4
5,150,4.1
3,150,4.1
1,151,4.2
4,151,4.2
5,151,4.2
3,151,4.2
1,152,4.1
2,153,4.3
4,153,4
5,153,4.1
3,153,4
5,153,4
4,154,4.7
5,154,4.7
7,154,4.1
8,154,4
10,154,4
3,154,4.7
1,154,4.7
3,155,4.5
2,155,4.5
5,155,4.5
7,155,4.4
3,155,4.1
4,155,4.3
3,156,4.5
5,156,4.5
4,156,4.5
8,156,4.1
10,156,4.5
